Risk ID,Risk Description,Potential Impact,Tech Stack,Category of Risks
INT-SEC-001,"Broken Object Level Authorization (BOLA) in APIs, allowing unauthorized access to data by manipulating resource IDs in requests.","Sensitive data exposure, privacy violations, unauthorized data modification or deletion.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-002,"Failure to implement proper authentication across all integration endpoints, leaving some services publicly exposed.","Unauthorized system access, data breaches, service manipulation.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-003,"Hardcoded credentials, API keys, or tokens within application code, configuration files, or public repositories.","Full system compromise, unauthorized access on behalf of the compromised identity.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-004,"Excessive data exposure where APIs return full internal data objects, relying on the client to filter sensitive information.","Unintentional leakage of Personally Identifiable Information (PII) or other sensitive data.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-005,"Lack of rate limiting and throttling on APIs, making them vulnerable to Denial of Service (DoS) or brute-force attacks.","Service unavailability, resource exhaustion, increased operational costs.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-006,"Broken Function Level Authorization, allowing users to access administrative or privileged functions they are not authorized for.","Privilege escalation, unauthorized system configuration changes, full system takeover.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-007,"Improper asset management, leading to 'shadow' or 'zombie' APIs (unmanaged or deprecated versions) that remain active and unpatched.","Increased attack surface, exploitation of unpatched vulnerabilities.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-008,"Security misconfiguration, such as insecure default settings, verbose error messages revealing internal architecture, or unnecessary open ports.","System information leakage, providing attackers with a roadmap for further exploitation.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-009,"Injection flaws (e.g., SQL, NoSQL, OS command injection) where untrusted data is sent to an interpreter as part of a command or query.","Data exfiltration, data corruption, remote code execution.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-010,"Insecure deserialization of data from integrated systems, allowing remote code execution or denial-of-service attacks.","Remote code execution, application crashes, data tampering.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-011,"Insufficient logging and monitoring of integration points, preventing timely detection of and response to security incidents.","Delayed breach detection, inability to perform forensic analysis, attackers maintaining persistent access.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-012,"Server-Side Request Forgery (SSRF) where an attacker can coerce the application to make requests to an unintended internal or external location.","Bypassing firewalls, internal network scanning, access to internal services and sensitive data.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-013,"Mass assignment vulnerability, allowing attackers to modify internal object properties by passing unexpected fields in API requests (e.g., setting 'isAdmin' to true).","Privilege escalation, unauthorized data modification, bypassing security controls.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-014,"Use of integration components with known, unpatched vulnerabilities (e.g., outdated libraries, message brokers, or API gateways).","System compromise through exploitation of known CVEs.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-015,"Weak or missing transport layer encryption (TLS/SSL) for data in transit between services.","Man-in-the-middle attacks, data sniffing, session hijacking.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-016,"Unprotected metadata endpoints (e.g., OpenAPI/Swagger specs) that reveal sensitive information about API structure and logic.","Information leakage, aiding attackers in mapping the application's attack surface.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-017,"Improperly secured message queues or event streams, allowing unauthorized publishing or consumption of messages.","Data injection, information disclosure, denial of service, business logic manipulation.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-018,"Cross-Origin Resource Sharing (CORS) misconfiguration, allowing malicious websites to make requests to the API from a user's browser.","Data theft, unauthorized actions on behalf of the user.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-019,"Use of excessively long-lived JWTs or other access tokens, increasing the window of opportunity for misuse if stolen.","Prolonged unauthorized access, account takeover.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-020,"Lack of input validation on data received from integrated systems, trusting that all connected systems send clean data.","Data corruption, processing failures, downstream injection vulnerabilities.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-021,"Insecure file uploads through APIs without proper validation of file type, size, or content.","Remote code execution via malicious scripts, denial of service through resource exhaustion.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-022,"Failure to validate webhook authenticity, allowing attackers to send malicious payloads to callback endpoints.","System manipulation, data injection, triggering of unauthorized workflows.",Architecture - Integration,Security & Vulnerability Risks
INT-SEC-023,"Inadequate tenant isolation in a multi-tenant integration platform, allowing one tenant to access another's data or resources.","Major data breach, privacy violations, loss of customer trust.",Architecture - Integration,Security & Vulnerability Risks
