Risk ID,Description,Potential Impact,Tech Stack,Category of Risks
DEV-SEC-001,"Hardcoded secrets (API keys, database credentials) in Git repositories, including private ones, accessible to a wide range of developers.","Widespread system compromise, unauthorized data access and exfiltration, significant financial and reputational damage.",DevOps,Security & Vulnerability Risks
DEV-SEC-002,"Lack of automated Software Composition Analysis (SCA) in the CI/CD pipeline to detect known vulnerabilities in open-source dependencies.","Deployment of applications with critical vulnerabilities (e.g., Log4Shell), leading to remote code execution and system takeover.",DevOps,Security & Vulnerability Risks
DEV-SEC-003,"Overly permissive IAM roles or service account permissions assigned to CI/CD pipeline jobs, violating the principle of least privilege.","A compromised pipeline job could lead to lateral movement across the cloud environment, enabling widespread resource destruction or data theft.",DevOps,Security & Vulnerability Risks
DEV-SEC-004,"Failure to integrate Static Application Security Testing (SAST) tools, allowing common coding flaws (e.g., SQL injection, XSS) to reach production.","Application-level attacks, data breaches, defacement of web properties, and failure to meet compliance standards like PCI-DSS.",DevOps,Security & Vulnerability Risks
DEV-SEC-005,"Use of public or untrusted base images for containers without vulnerability scanning or hardening.","Introduction of malware or critical vulnerabilities into the production environment, creating a persistent backdoor.",DevOps,Security & Vulnerability Risks
DEV-SEC-006,"Infrastructure as Code (IaC) scripts (e.g., Terraform, CloudFormation) defining insecure configurations like public S3 buckets or open security groups.","Accidental public exposure of sensitive data, creation of network ingress points for attackers, non-compliance with data protection regulations.",DevOps,Security & Vulnerability Risks
DEV-SEC-007,"Secrets stored as plain text in CI/CD tool environment variables, which can be exposed through build logs.","Credential leakage, leading to unauthorized access to integrated services (databases, cloud providers, APIs).",DevOps,Security & Vulnerability Risks
DEV-SEC-008,"Lack of branch protection rules in Git, allowing developers to merge un-reviewed or failing code into main branches.","Introduction of malicious code, security flaws, or stability issues directly into the release candidate.",DevOps,Security & Vulnerability Risks
DEV-SEC-009,"Insufficient security for the CI/CD tools themselves (e.g., Jenkins, GitLab), such as default admin passwords or lack of MFA.","Complete takeover of the build and deployment process, enabling supply chain attacks where malicious code is injected into every application.",DevOps,Security & Vulnerability Risks
DEV-SEC-010,"Failure to integrate Dynamic Application Security Testing (DAST) for running applications in a staging environment.","Runtime and configuration-dependent vulnerabilities are missed, leaving the production application exposed to attack.",DevOps,Security & Vulnerability Risks
DEV-SEC-011,"Container runtime security is not monitored, allowing for privilege escalation or container escape vulnerabilities to be exploited in production.","Compromise of the underlying host node, leading to a breach of all containers running on that host.",DevOps,Security & Vulnerability Risks
DEV-SEC-012,"Inadequate logging and monitoring of pipeline activities, preventing detection of anomalous or malicious behavior.","Inability to detect or respond to a supply chain attack in progress, significant delays in forensic investigation post-breach.",DevOps,Security & Vulnerability Risks
DEV-SEC-013,"Developers using personal or unauthorized third-party tools/services that connect to the corporate code repositories.","Source code exfiltration, introduction of malware into the development ecosystem.",DevOps,Security & Vulnerability Risks
DEV-SEC-014,"Lack of a centralized and automated secret rotation policy for credentials used by applications and pipelines.","A leaked credential remains valid indefinitely, increasing the window of opportunity for an attacker.",DevOps,Security & Vulnerability Risks
DEV-SEC-015,"Build artifacts are not signed, allowing for a tampering attack between the build and deploy stages.","Deployment of a malicious or corrupted artifact into production, leading to unpredictable behavior or compromise.",DevOps,Security & Vulnerability Risks
DEV-SEC-016,"Insecure configuration of feature flag systems, allowing unauthorized users to enable or disable features.","Exposure of incomplete and insecure features to the public, potential for abuse of administrative features.",DevOps,Security & Vulnerability Risks
DEV-SEC-017,"Ignoring security warnings or failing builds from SAST/SCA tools due to tight deadlines, creating a culture of 'security debt'.","Systematic accumulation of vulnerabilities in the codebase, leading to a fragile and easily compromised application portfolio.",DevOps,Security & Vulnerability Risks
DEV-SEC-018,"Lack of network segmentation between different environments (dev, staging, prod) in the cloud.","A compromise in a lower-security development environment can easily pivot to attack high-security production systems.",DevOps,Security & Vulnerability Risks
DEV-SEC-019,"Improper handling of sensitive data in test environments, such as using production data copies without masking or anonymization.","Exposure of customer PII to a large internal audience, increasing insider threat risk and violating data privacy regulations like GDPR.",DevOps,Security & Vulnerability Risks
DEV-SEC-020,"Dependency confusion attacks where a malicious internal package name is registered on a public repository, tricking the build system.","Execution of arbitrary code within the secure build environment, leading to a full-scale supply chain compromise.",DevOps,Security & Vulnerability Risks
DEV-SEC-021,"Failure to regularly patch the underlying infrastructure of the DevOps toolchain (e.g., Jenkins servers, Kubernetes nodes).","Exploitation of known OS or platform vulnerabilities to compromise the entire CI/CD infrastructure.",DevOps,Security & Vulnerability Risks
DEV-SEC-022,"No security validation for Terraform/IaC modules sourced from public registries.","Unintentional deployment of infrastructure with built-in backdoors or critical security misconfigurations.",DevOps,Security & Vulnerability Risks
DEV-SEC-023,"Lack of egress filtering from build agents, allowing a compromised build to exfiltrate data or source code to the public internet.","Theft of intellectual property, exposure of internal network details and credentials.",DevOps,Security & Vulnerability Risks
DEV-SEC-024,"Developers having direct production access (e.g., kubectl, SSH) for 'hotfixes', bypassing the entire CI/CD process and audit trail.","Introduction of un-tested and potentially insecure changes, configuration drift, and compliance violations (e.g., SOX).",DevOps,Security & Vulnerability Risks
DEV-SEC-025,"Insufficient rate limiting and security headers on APIs deployed via automated pipelines.","Denial-of-Service (DoS) attacks, increased vulnerability to common web attacks like Cross-Site Scripting (XSS).",DevOps,Security & Vulnerability Risks
DEV-PERF-001,"CI/CD pipeline becomes a serial bottleneck as more teams and microservices are added, leading to long queue times for builds and tests.","Decreased developer velocity, delayed feature releases, and developers bypassing slow pipelines.",DevOps,Performance & Scalability Risks
DEV-PERF-002,"Inefficient container resource requests/limits (CPU, memory) leading to either chronic under-provisioning (throttling, OOMKilled) or massive over-provisioning (cost waste).","Application instability and poor performance; significant and unnecessary cloud infrastructure costs.",DevOps,Performance & Scalability Risks
DEV-PERF-003,"Lack of automated performance and load testing integrated into the deployment pipeline.","Performance regressions are deployed to production, causing slow response times, service degradation, and SLA breaches during peak traffic.",DevOps,Performance & Scalability Risks
DEV-PERF-004,"Fragmented and incomplete observability stack (logs, metrics, traces) making it difficult to diagnose performance issues in a distributed system.","High Mean Time to Resolution (MTTR) for production incidents, prolonged outages, and inability to pinpoint root causes.",DevOps,Performance & Scalability Risks
DEV-PERF-005,"Automated database schema migrations are not tested for performance impact, leading to locking or slow queries in production.","Application-wide outage or severe degradation during deployment as the database becomes a bottleneck.",DevOps,Performance & Scalability Risks
DEV-PERF-006,"Inefficient use of build caches or distributed caching, causing every build to be a full, slow build from scratch.","Slow developer feedback loops, wasted compute resources in the CI system, and reduced deployment frequency.",DevOps,Performance & Scalability Risks
DEV-PERF-007,"Container image bloat, where large, multi-gigabyte images are used, slowing down pull times and increasing storage costs.","Slow application startup times, delayed scaling events in orchestrators like Kubernetes, and increased network traffic.",DevOps,Performance & Scalability Risks
DEV-PERF-008,"Lack of autoscaling configured or poorly tuned autoscaling parameters for services and infrastructure.","System failure under sudden traffic spikes (under-scaling) or excessive costs during low-traffic periods (over-scaling).",DevOps,Performance & Scalability Risks
DEV-PERF-009,"The artifact repository (e.g., Artifactory, Nexus) becomes a performance bottleneck, slowing down dependency downloads for all builds.","Global slowdown of all CI/CD pipelines, potentially halting all development and deployment activities.",DevOps,Performance & Scalability Risks
