"Project Name","Sprint/Phase","Task/Item","Status","Owner","Timeline","Financial Metric","SLA Metric","Risk Title","Risk Description","Risk Category","Tech Stack","Risk Subtype","Severity","Likelihood","Impact"
"Healthify","Sprint 1","HEA-104, HEA-107","Done (with 3 reopens)","Deepa R, Ramesh K","2026-01-12 to 2026-01-18","NULL","NULL","Critical Defect Recurrence Pattern","Critical defects HEA-104 and HEA-107 exhibit 3 reopen counts each, indicating systemic concurrency and API failure issues causing duplicate entries, retries, timeout, and inconsistent state under load","Technical","Backend, API","Defect","High","High","System instability under production load causing data inconsistencies and potential service disruption"
"Healthify","Sprint 2","HEA-109, HEA-111, HEA-113","Blocked/Not Started","QA-Anu, QA-Divya, QA-Charan","2026-01-21 to 2026-01-25","NULL","NULL","QA Validation Bottleneck","Multiple QA sub-tasks (HEA-109, HEA-111, HEA-113) are blocked or not started in Sprint 2, with defect leakage reported, preventing regression validation and edge case testing","Operational","QA Testing","Delay","High","High","Delayed release cycles and increased risk of production defects due to incomplete regression coverage"
"Healthify","Sprint 3","HEA-115, HEA-117, HEA-119, HEA-120","Blocked/Reopened/Open","Ajay D, Naveen G, Ramesh K","2026-01-31 to 2026-02-06","NULL","NULL","Sprint 3 Delivery Impediment","Sprint 3 shows multiple blocked stories (HEA-115), reopened stories (HEA-117), critical reopened bugs with 3 reopen counts (HEA-119), and open critical stories (HEA-120) with not started QA tasks","Operational","Backend","Delay","High","High","Sprint delivery at risk with cascading delays affecting downstream dependencies and release timeline"
"Healthify","Sprint 4","HEA-122, HEA-127, HEA-128","Reopened/Failed","Priya M, Keerthi L, QA-Bala","2026-02-10 to 2026-02-16","NULL","NULL","Sprint 4 Quality Degradation","Sprint 4 exhibits reopened stories (HEA-122, HEA-127) and failed QA validation (HEA-128) with defect leakage, indicating quality control breakdown","Technical","Backend, QA","Defect","High","High","Increased defect leakage to production causing customer impact and rework overhead"
"Healthify","Q1 2025","Overall Project","Amber","Project Team","Q1 2025","NULL","Velocity: 42 vs 45 target, QA Pass: 92% vs 95% target, Defect Leakage: 5%","Delivery Performance Below Target","Healthify project shows velocity at 42 against target of 45, QA pass rate at 92% below 95% target, and defect leakage at 5% threshold limit across Q1 2025","Operational","Backend","SLA Breach","Medium","High","Reduced team productivity and quality metrics indicating potential for missed commitments and increased technical debt"
"FinCore","Sprint 1","FIN-131, FIN-136","Reopened (3 reopens)","Vignesh P, Arun K","2026-01-11 to 2026-01-17","NULL","NULL","AI System Critical Defect Pattern","Critical defects FIN-131 and FIN-136 both show 3 reopen counts with concurrency/API failure causing system failures under load with duplicate entries, retries, timeout, and inconsistent state","Technical","AI, API","Defect","High","High","AI model inference reliability compromised causing incorrect predictions and business decision impact"
"FinCore","Sprint 2","FIN-138, FIN-141, FIN-144","Not Started/Reopened","QA-Anu, Priya M, Vignesh P","2026-01-21 to 2026-01-25","NULL","NULL","Sprint 2 AI Pipeline Instability","Sprint 2 shows QA task not started with defect leakage (FIN-138), reopened critical bug (FIN-141), and another reopened critical bug with 3 reopens (FIN-144)","Technical","AI","Defect","High","High","AI pipeline instability affecting model orchestration and scoring accuracy"
"FinCore","Sprint 3","FIN-148, FIN-149, FIN-152","Not Started/Closed/Reopened","QA-Bala, Deepa R, Naveen G","2026-02-01 to 2026-02-06","NULL","NULL","Sprint 3 Quality Control Gap","Sprint 3 exhibits QA task not started with defect leakage (FIN-148), closed critical bug (FIN-149) with 3 reopens, and reopened critical bug (FIN-152) with 3 reopens","Operational","AI, QA","Defect","High","High","Repeated defect patterns indicating insufficient root cause analysis and fix validation"
"FinCore","Sprint 4","FIN-157, FIN-158, FIN-159, FIN-160","In Progress/Blocked/Failed","Ajay D, Priya M, QA-Bala, Vignesh P","2026-02-10 to 2026-02-16","NULL","NULL","Sprint 4 Multi-Layer Failure","Sprint 4 shows critical bug in progress (FIN-157), blocked story (FIN-158), failed QA with defect leakage (FIN-159), and critical bug in progress with 3 reopens (FIN-160)","Technical","AI","Defect","High","High","Multiple concurrent failures across development and testing indicating systemic quality issues"
"FinCore","Q1 2025","DevOps Infrastructure","Over Budget","DevOps Team","Q1 2025","$17,000 actual vs $15,000 budget (-$2,000 variance)","NULL","Infrastructure Cost Overrun","FinCore DevOps infrastructure costs reached $17,000 against budgeted $15,000, showing $2,000 overrun with increased infrastructure effort at 12% vs planned 10%","Financial","DevOps, Cloud","Overrun","Medium","High","Budget variance impacting project profitability and requiring cost optimization measures"
