Risk ID,Risk Description,Potential Impact,Tech Stack,Category of Risks
INF-SEC-001,"Insecure default administrator credentials (e.g., Administrator/Administrator) are not changed after installation.","Complete compromise of the Informatica domain, unauthorized data access, and malicious code execution.",Informatica,Security & Vulnerability Risks
INF-SEC-002,"Unencrypted communication between Informatica nodes, clients (PowerCenter), and source/target databases.","Man-in-the-middle attacks, credential sniffing, and sensitive data interception.",Informatica,Security & Vulnerability Risks
INF-SEC-003,Overly permissive user roles and privileges assigned within the Informatica domain.,"Unauthorized access to sensitive data, accidental or malicious modification of ETL jobs and workflows.",Informatica,Security & Vulnerability Risks
INF-SEC-004,Hardcoded credentials (usernames/passwords) for source/target systems within connection objects or parameter files.,"Credential exposure, unauthorized access to connected data sources, compliance violations (PCI-DSS, SOX).",Informatica,Security & Vulnerability Risks
INF-SEC-005,Failure to regularly patch Informatica PowerCenter/IDQ/IICS to address known vulnerabilities (CVEs).,"System compromise through exploitation of known vulnerabilities, leading to data breaches or service disruption.",Informatica,Security & Vulnerability Risks
INF-SEC-006,Inadequate logging and monitoring of administrative actions and data access within the Informatica platform.,"Inability to detect or investigate security incidents, breaches, or unauthorized activities.",Informatica,Security & Vulnerability Risks
INF-SEC-007,Improper handling of sensitive data (PII, PHI) in transit or at rest within staging files or logs.,"Data leakage, non-compliance with data protection regulations like GDPR and CCPA.",Informatica,Security & Vulnerability Risks
INF-SEC-008,Use of weak encryption ciphers for securing the domain or connections.,"Data can be decrypted by attackers, rendering security controls ineffective.",Informatica,Security & Vulnerability Risks
INF-SEC-009,Lack of network segmentation between the Informatica servers and other corporate network zones.,"Lateral movement by attackers, allowing a compromise in another system to spread to the data integration layer.",Informatica,Security & Vulnerability Risks
INF-SEC-010,Vulnerabilities in third-party libraries or drivers (e.g., JDBC/ODBC drivers) used by Informatica.,Exploitation of driver vulnerabilities to gain access to the underlying server or connected databases.,Informatica,Security & Vulnerability Risks
INF-SEC-011,"Insecure file permissions on the Informatica server for logs, parameter files, and cache directories.",Unauthorized users can read sensitive data from logs/files or modify job configurations.,Informatica,Security & Vulnerability Risks
INF-SEC-012,Cross-Site Scripting (XSS) vulnerabilities in the Informatica Administrator console or Analyst tool web interfaces.,"Session hijacking of administrative users, unauthorized actions performed on their behalf.",Informatica,Security & Vulnerability Risks
INF-SEC-013,Failure to implement multi-factor authentication (MFA) for administrative access.,Increased risk of account takeover through credential theft or phishing.,Informatica,Security & Vulnerability Risks
INF-SEC-014,"Data masking or tokenization not applied to non-production environments, exposing sensitive data to developers and testers.","Internal data breach, compliance violations, increased risk of data exfiltration.",Informatica,Security & Vulnerability Risks
INF-SEC-015,Command injection vulnerabilities through improperly sanitized parameters used in pre/post-session shell commands.,Arbitrary command execution on the Informatica server with the privileges of the Informatica service account.,Informatica,Security & Vulnerability Risks
INF-SEC-016,"Lack of a centralized secrets management solution (e.g., HashiCorp Vault, CyberArk) for database credentials.","Credential sprawl, difficulty in rotating passwords, increased risk of credential leakage.",Informatica,Security & Vulnerability Risks
INF-SEC-017,"Improper session management in web-based Informatica tools, leading to session fixation or hijacking.",Unauthorized access to user sessions and assumption of their privileges.,Informatica,Security & Vulnerability Risks
INF-SEC-018,"Exposure of Informatica server ports (e.g., node port, service manager port) to untrusted networks.","Direct attacks on Informatica services, denial-of-service, unauthorized connection attempts.",Informatica,Security & Vulnerability Risks
INF-SEC-019,Service accounts with non-expiring passwords and excessive permissions on the operating system.,A compromised service account provides a persistent foothold for an attacker.,Informatica,Security & Vulnerability Risks
