Project Name,Sprint/Phase,Task/Item,Status,Owner,Timeline,Financial Metric,SLA Metric,Risk Title,Risk Description,Risk Category,Tech Stack,Risk Subtype,Severity,Likelihood,Impact
HIE Interoperability,Sprint 1-8,QA Testing & Defect Management,Completed with High Defect Count,Nisha/Divya,2026-03-02 to 2026-04-26,₹3,25,000 (Over Budget),Defect Leakage 3.5%,Sprint Defect Volume Risk,High defect count of 128 defects detected across 8 sprints with medium defect leakage rate of 3.5%. Multiple retesting cycles (2-3 per defect) and 18 reopened defects indicate regression patterns and incomplete fixes. QA budget overrun of ₹25,000 due to extended testing cycles.,Technical,QA Testing,Defect,High,High,Reduced software reliability and increased testing costs. Potential for production defects and customer dissatisfaction.
HIE Interoperability,Sprint 1-8,Development & PR Approval Process,In Progress with Delays,Ramesh K,2026-03-02 to 2026-04-26,Development Budget: ₹11,60,000,Cycle Time: 5.6 days (Target <5 days),PR Approval Bottleneck Risk,Consistent PR approval delays observed across all 8 sprints causing cycle time increase from target <5 days to actual 5.6 days. Development team faced repeated delays in code review and merge approvals impacting sprint velocity and delivery timelines.,Operational,Development Process,Delay,High,High,Delivery delays and reduced team productivity. Increased cycle time impacts sprint commitments and stakeholder expectations.
HIE Interoperability,Sprint 1-8,Environment Access & Dependencies,Blocked,Priya M/Keerthi L/Bala,2026-03-02 to 2026-04-26,N/A,22 Blocked Tasks,Environment Dependency Risk,22 tasks blocked due to environment access permissions and external dependencies across UAT and production environments. Delays in certificate renewals and production log access created bottlenecks in integration validation and production monitoring activities.,Operational,Infrastructure,Dependency,High,High,Integration delays and production support bottlenecks. Unable to validate data flows and monitor production systems effectively.
HIE Interoperability,Sprint 1-8,DevOps & Production Monitoring,Completed with Budget Overrun,Keerthi L/Bala,2026-03-02 to 2026-04-26,₹2,20,000 (Over Budget by ₹20,000),System Availability 99.2% (Target 99.5%),DevOps Budget Overrun Risk,DevOps budget exceeded by ₹20,000 due to increased production monitoring requirements and environment dependency handling. System availability fell short of target at 99.2% vs 99.5% target indicating stability concerns.,Financial,DevOps,Overrun,Medium,High,Budget overrun impacts project profitability. System availability below target risks SLA breaches and customer dissatisfaction.
HIE Interoperability,Sprint 1-8,API Performance & Response Time,Production,Integration Team,2026-03-02 to 2026-04-26,N/A,API Response Time: 2.3 sec (Target <2 sec),SLA Performance Risk,API response time exceeded target at 2.3 seconds vs <2 seconds target during peak load conditions. Minor latency observed during production operations indicating potential performance bottlenecks in healthcare data exchange.,Technical,API,SLA Breach,Medium,Medium,SLA breach risk and degraded user experience. Healthcare data exchange delays may impact clinical workflows and patient care.
HIE Interoperability,Sprint 1-8,Resource Allocation & Utilization,Ongoing,Project Management,2026-03-02 to 2026-04-26,N/A,Developer Utilization: 82% (Planned 70%); QA Utilization: 24% (Planned 20%),Resource Over-Utilization Risk,Developer utilization at 82% exceeded planned 70% due to high workload from bug fixes and PR support. QA utilization at 24% exceeded planned 20% due to multiple retesting cycles. High utilization rates indicate resource strain and potential burnout risk.,Resource,Resource Management,Resource Constraint,High,High,Team burnout and reduced productivity. Sustained high utilization may lead to quality issues and increased attrition risk.
HIE Interoperability,Sprint 1-8,Defect Reopen & Regression,Completed,QA Team,2026-03-02 to 2026-04-26,N/A,18 Reopened Defects; Reopen Rate 4.8% (Target <5%),Regression Pattern Risk,18 defects reopened across sprints with reopen rate of 4.8% approaching target threshold of <5%. Regression patterns observed indicating incomplete root cause analysis and fix validation. Multiple retest cycles required per defect.,Technical,QA Testing,Defect,Medium,High,Quality degradation and increased testing effort. Regression issues may leak to production causing customer impact.
HIE Interoperability,Sprint 5,Performance Testing & Data Reconciliation,Completed with Delays,Nisha/Divya/Ramesh K,2026-03-30 to 2026-04-05,N/A,Certificate renewal delays; Production log access blocked,Performance Validation Delay Risk,Performance testing and data reconciliation activities delayed in Sprint 5 due to certificate renewal delays and blocked production log access. Environment dependencies prevented timely validation of prod-like scenarios.,Operational,Performance Testing,Delay,Medium,High,Delayed go-live readiness and incomplete performance validation. Risk of production performance issues post-deployment.
HIE Interoperability,Sprint 6,UAT Support & Compliance Evidence,Completed with Signoff Delays,Nisha/Priya M/Divya,2026-04-06 to 2026-04-12,N/A,UAT Closure: 97% (Target 100%),UAT Signoff Delay Risk,UAT closure at 97% vs 100% target with pending validations and client signoff delays. Compliance evidence collection and defect retest queue caused delays in achieving full UAT closure and go-live readiness.,Compliance,UAT,Delay,Medium,Medium,Go-live delays and incomplete UAT coverage. Risk of production issues due to incomplete validation and signoff.
HIE Interoperability,Sprint 7-8,Production Cutover & Hypercare,Completed with Monitoring Gaps,Keerthi L/Bala/Integration Team,2026-04-13 to 2026-04-26,N/A,System Availability 99.2%; Incident Resolution <4 hrs,Production Stabilization Risk,Production cutover and hypercare activities completed with system availability at 99.2% below 99.5% target. Production monitoring gaps and incident resolution within SLA but close to threshold. Handover completed with Bala roll-off after stabilization.,Operational,Production Support,SLA Breach,Medium,Medium,Production stability concerns and SLA breach risk. Monitoring gaps may delay incident detection and resolution.
