Risk ID,Risk Description,Potential Impact,Tech Stack,Category of Risks
SEC-001,"Insecure deserialization of model artifacts (e.g., pickle files) leading to remote code execution.","Server compromise, unauthorized access to data and infrastructure.",AIML,Security & Vulnerability Risks
SEC-002,"Data poisoning attacks where malicious data is injected into the training set to compromise model integrity.","Erroneous model predictions, targeted model failure, reputational damage.",AIML,Security & Vulnerability Risks
SEC-003,"Model evasion attacks (adversarial examples) where inputs are slightly perturbed to cause misclassification.","Bypass of security systems (e.g., spam filters, fraud detection), incorrect business decisions.",AIML,Security & Vulnerability Risks
SEC-004,"Model inversion and membership inference attacks that extract sensitive training data or user information from the model.","Data breach, privacy violations, non-compliance with GDPR/CCPA.",AIML,Security & Vulnerability Risks
SEC-005,"Unsecured data pipelines (e.g., unencrypted data in transit between ETL jobs and training clusters).","Data interception, exposure of sensitive information.",AIML,Security & Vulnerability Risks
SEC-006,"Overly permissive IAM roles for ML services (e.g., SageMaker, Vertex AI) allowing access to unrelated data stores.","Privilege escalation, unauthorized data access and exfiltration.",AIML,Security & Vulnerability Risks
SEC-007,"Vulnerable dependencies in core ML libraries (e.g., TensorFlow, PyTorch, Scikit-learn) not being patched.","System compromise through known exploits in the software supply chain.",AIML,Security & Vulnerability Risks
SEC-008,"Lack of network segmentation between data science environments and production systems.","Lateral movement by attackers, compromise of production systems from a less secure environment.",AIML,Security & Vulnerability Risks
SEC-009,"Hardcoded secrets (API keys, database credentials) in notebooks or training scripts.","Unauthorized access to critical systems and data stores.",AIML,Security & Vulnerability Risks
SEC-010,"Inadequate input validation on model inference endpoints, allowing for injection or denial-of-service attacks.","Service disruption, potential for data exfiltration or system compromise.",AIML,Security & Vulnerability Risks
SEC-011,"Exposure of sensitive PII or business data in logs generated by ML training and inference jobs.","Data leakage, compliance violations.",AIML,Security & Vulnerability Risks
SEC-012,"Failure to implement robust authentication and authorization for ML API endpoints.","Unauthorized model usage, resource exhaustion, economic denial of service.",AIML,Security & Vulnerability Risks
