Risk ID,Technology,Context,Risk Title,Risk Category,Risk Description
BR-AIML-001,AIML,"Machine learning model training and deployment in production environments","Model Poisoning and Adversarial Attacks",Security,"AI/ML models are vulnerable to poisoning attacks during training where malicious actors inject corrupted data to manipulate model behavior. Adversarial attacks can exploit model vulnerabilities by crafting inputs designed to cause misclassification or incorrect predictions, compromising model integrity and reliability."
BR-AIML-002,AIML,"AI/ML model serving and inference endpoints","Unauthorized Model Access and Intellectual Property Theft",Security,"ML models represent significant intellectual property and competitive advantage. Without proper access controls, authentication, and encryption, models can be extracted through API queries (model extraction attacks), reverse-engineered, or stolen, exposing proprietary algorithms, training data characteristics, and business logic."
BR-AIML-003,AIML,"Training data collection, storage, and processing","Training Data Privacy Violations and PII Exposure",Security,"AI/ML models trained on datasets containing personally identifiable information (PII), protected health information (PHI), or other sensitive data face risks of data leakage through model inversion attacks, membership inference attacks, or inadequate data anonymization. Models may memorize and expose training data through predictions."
BR-AIML-004,AIML,"Model inference and prediction serving","Inference API Rate Limiting and DDoS Vulnerabilities",Security,"ML inference endpoints without proper rate limiting, authentication, and DDoS protection are vulnerable to resource exhaustion attacks, where attackers flood the system with prediction requests, causing service degradation or complete unavailability. This is particularly critical for computationally expensive deep learning models."
BR-AIML-005,AIML,"Model training infrastructure and compute resources","Insufficient GPU/TPU Resource Allocation",Performance,"AI/ML workloads, especially deep learning, require significant computational resources (GPUs, TPUs). Inadequate resource allocation leads to extended training times, failed training jobs, inability to experiment with larger models, and bottlenecks in the ML development lifecycle. Resource contention between teams can cause project delays."
BR-AIML-006,AIML,"Real-time model inference and prediction serving","High Inference Latency and Throughput Bottlenecks",Performance,"Complex ML models, particularly deep neural networks, can have high inference latency (hundreds of milliseconds to seconds), making them unsuitable for real-time applications. Insufficient model optimization, lack of hardware acceleration, or poor serving infrastructure can create throughput bottlenecks affecting user experience."
BR-AIML-007,AIML,"Batch processing and model training pipelines","Training Pipeline Performance Degradation",Performance,"ML training pipelines involving data preprocessing, feature engineering, model training, and validation can suffer from performance bottlenecks due to inefficient data loading, lack of parallelization, I/O constraints, or suboptimal hyperparameter configurations. This extends experiment cycles and slows innovation."
BR-AIML-008,AIML,"Distributed training across multiple nodes/GPUs","Distributed Training Scalability Limitations",Scalability,"Scaling ML training across multiple GPUs or nodes faces challenges including communication overhead, gradient synchronization bottlenecks, data parallelism inefficiencies, and diminishing returns beyond certain cluster sizes. Poor distributed training strategies can actually slow down training or cause convergence issues."
BR-AIML-009,AIML,"Model serving infrastructure for production workloads","Inference Serving Horizontal Scaling Challenges",Scalability,"Scaling ML inference services horizontally to handle increasing prediction loads faces challenges including model loading times, memory requirements per instance, stateful model caching, and load balancing complexities. Large models (multi-GB) can take minutes to load, making auto-scaling slow and inefficient."
BR-AIML-010,AIML,"Multi-tenant ML platform serving multiple teams/projects","Resource Isolation and Multi-Tenancy Scalability",Scalability,"ML platforms serving multiple teams or customers face scalability challenges in resource isolation, fair resource allocation, preventing noisy neighbor problems, and managing diverse workload requirements. Without proper isolation, one team's large training job can impact others' inference services."
BR-AIML-011,AIML,"Production ML model serving and inference","Model Serving Infrastructure Failures",Reliability,"ML inference services can experience failures due to infrastructure issues, model server crashes, memory leaks, GPU failures, or network problems. Without proper redundancy, health checks, and failover mechanisms, model serving becomes a single point of failure for AI-powered applications."
BR-AIML-012,AIML,"Model training and experimentation workflows","Training Job Failures and Checkpoint Loss",Reliability,"Long-running ML training jobs (hours to weeks) are vulnerable to failures from infrastructure issues, out-of-memory errors, numerical instability, or spot instance interruptions. Without proper checkpointing, monitoring, and recovery mechanisms, training failures result in complete loss of progress and wasted compute resources."
BR-AIML-013,AIML,"Production ML models in critical business applications","Model Performance Degradation and Drift",Reliability,"ML models degrade over time as data distributions shift (concept drift, data drift), causing prediction accuracy to decline. Without continuous monitoring, alerting, and retraining pipelines, models silently fail, producing increasingly incorrect predictions while appearing operational."
BR-AIML-014,AIML,"Model versioning and deployment pipelines","Model Version Control and Rollback Failures",Reliability,"Deploying new model versions without proper version control, canary deployments, or rollback mechanisms can result in production incidents from buggy models. Inability to quickly rollback to previous versions extends incident duration and impact."
BR-AIML-015,AIML,"Training data quality and preprocessing","Training Data Quality Issues and Label Noise",Data Integrity,"ML models are highly sensitive to training data quality. Issues including incorrect labels, missing values, outliers, duplicate records, or biased sampling lead to models that learn incorrect patterns, perform poorly, or exhibit unexpected behaviors. Data quality issues often go undetected until models are deployed."
BR-AIML-016,AIML,"Feature engineering and data transformation pipelines","Feature Engineering Pipeline Inconsistencies",Data Integrity,"Inconsistencies between training and inference feature engineering pipelines (training/serving skew) cause models to receive different input distributions than they were trained on, leading to degraded performance or complete failures. This includes differences in data preprocessing, feature transformations, or missing feature values."
BR-AIML-017,AIML,"Model artifacts and metadata storage","Model Artifact Corruption and Loss",Data Integrity,"ML model artifacts (weights, configurations, metadata) stored without proper integrity checks, versioning, or backup mechanisms are vulnerable to corruption, accidental deletion, or loss. Corrupted models may load successfully but produce incorrect predictions, making detection difficult."
BR-AIML-018,AIML,"Experiment tracking and model lineage","Experiment Reproducibility and Lineage Tracking Gaps",Data Integrity,"Without comprehensive experiment tracking, model lineage, and reproducibility mechanisms, organizations cannot reliably reproduce model results, trace model decisions back to training data, or maintain audit trails. This creates data integrity issues for model governance and compliance."
BR-AIML-019,AIML,"ML model deployment and CI/CD pipelines","Inadequate ML CI/CD and Deployment Automation",DevOps/Deployment,"Manual or poorly automated ML deployment processes lead to inconsistent deployments, configuration errors, missing validation steps, and extended deployment times. Lack of automated testing for ML models (data validation, model performance tests, integration tests) increases deployment risk."
BR-AIML-020,AIML,"Model serving infrastructure configuration","Model Serving Misconfigurations",DevOps/Deployment,"ML serving infrastructure involves complex configurations including resource limits, scaling policies, model versions, feature transformations, and endpoint routing. Misconfigurations can cause performance issues, incorrect model versions being served, or complete service failures that are difficult to diagnose."
BR-AIML-021,AIML,"ML infrastructure provisioning and management","Infrastructure-as-Code Gaps for ML Resources",DevOps/Deployment,"ML infrastructure (GPU clusters, training environments, serving infrastructure) managed without proper Infrastructure-as-Code (IaC) practices leads to configuration drift, inability to reproduce environments, manual provisioning errors, and lack of version control for infrastructure changes."
BR-AIML-022,AIML,"ML model monitoring and observability","Insufficient ML Model Monitoring and Observability",DevOps/Deployment,"ML systems require specialized monitoring beyond traditional application metrics, including model performance metrics, data drift detection, prediction distribution monitoring, and feature importance tracking. Without comprehensive ML observability, issues go undetected until significant business impact occurs."
BR-AIML-023,AIML,"AI/ML systems in regulated industries","Model Explainability and Regulatory Compliance Gaps",Compliance,"Regulations (GDPR Article 22, FCRA, ECOA, SR 11-7) require explainability for automated decisions affecting individuals. Complex ML models (deep learning, ensemble methods) often lack interpretability, making it difficult to explain individual predictions or demonstrate compliance with fairness requirements."
BR-AIML-024,AIML,"ML models making decisions about individuals","Algorithmic Bias and Fairness Violations",Compliance,"ML models can perpetuate or amplify biases present in training data, leading to discriminatory outcomes based on protected characteristics (race, gender, age). Without bias testing, fairness metrics, and mitigation strategies, models may violate anti-discrimination laws and ethical guidelines."
BR-AIML-025,AIML,"ML model governance and documentation","Inadequate Model Documentation and Governance",Compliance,"Regulatory frameworks and internal policies require comprehensive documentation of ML models including training data sources, model architecture, performance metrics, validation procedures, and decision logic. Lack of proper documentation and governance processes creates compliance risks and audit failures."
