Risk ID,Risk Description,Potential Impact,Tech Stack,Category Of Risks
ANG-SEC-001,"Cross-Site Scripting (XSS) due to improper sanitization of user-supplied data before rendering it in the DOM.","Execution of malicious scripts in users' browsers, leading to session hijacking, data theft, or defacement.",Angular,Security & Vulnerability Risks
ANG-SEC-002,"Vulnerabilities in third-party libraries (npm packages) that are not regularly scanned or updated.","Inheriting known vulnerabilities (e.g., RCE, DoS) from dependencies, compromising the entire application.",Angular,Security & Vulnerability Risks
ANG-SEC-003,"Insecure storage of sensitive data (e.g., tokens, PII) in browser local storage, which is accessible to any script on the same domain.","Data breach and unauthorized access to user accounts if an XSS vulnerability is exploited.",Angular,Security & Vulnerability Risks
ANG-SEC-004,"Cross-Site Request Forgery (CSRF) if the application does not implement anti-CSRF tokens for state-changing requests.","Unauthorized actions being performed on behalf of a logged-in user without their consent.",Angular,Security & Vulnerability Risks
ANG-SEC-005,"Hardcoding API keys, secrets, or other credentials directly in the client-side Angular code.","Exposure of sensitive credentials, allowing unauthorized access to backend services and APIs.",Angular,Security & Vulnerability Risks
ANG-SEC-006,"Improper implementation of route guards, allowing unauthorized users to access restricted application views.","Unauthorized access to sensitive information or functionality within the client-side application.",Angular,Security & Vulnerability Risks
ANG-SEC-007,"Template injection vulnerabilities if server-side templates are mixed with client-side Angular templates insecurely.","Remote Code Execution (RCE) on the server or advanced XSS on the client.",Angular,Security & Vulnerability Risks
ANG-SEC-008,"Disabling Angular's built-in security features, such as the DOM sanitizer, for convenience.","Re-introduction of common web vulnerabilities like XSS that the framework is designed to prevent.",Angular,Security & Vulnerability Risks
ANG-SEC-009,"Exposure of sensitive application logic or data structures through JavaScript source maps in a production environment.","Providing attackers with a roadmap of the application's internal workings, aiding in targeted attacks.",Angular,Security & Vulnerability Risks
ANG-SEC-010,"Insecure JSONP usage, which can be exploited to bypass Same-Origin Policy and exfiltrate data.","Data leakage and potential for CSRF-like attacks across different domains.",Angular,Security & Vulnerability Risks
ANG-SEC-011,"Failure to implement Content Security Policy (CSP) headers, leaving the application vulnerable to data injection and XSS.","Reduced defense-in-depth, making the application more susceptible to various injection attacks.",Angular,Security & Vulnerability Risks
ANG-SEC-012,"Over-reliance on client-side validation, which can be easily bypassed by attackers.","Submission of malicious or malformed data to the backend, potentially leading to injection, DoS, or data corruption.",Angular,Security & Vulnerability Risks
ANG-SEC-013,"Using outdated or unsupported versions of Angular, which no longer receive security patches.","Exposure to publicly known and unpatched vulnerabilities in the core framework.",Angular,Security & Vulnerability Risks
ANG-SEC-014,"Insecure communication with APIs (e.g., using HTTP instead of HTTPS), exposing data in transit.","Man-in-the-middle (MITM) attacks, leading to session hijacking and data interception.",Angular,Security & Vulnerability Risks
ANG-SEC-015,"Leaking sensitive information in error messages displayed to the user (e.g., stack traces, database errors).","Information disclosure that can aid an attacker in understanding and exploiting the system.",Angular,Security & Vulnerability Risks
ANG-SEC-016,"Open redirects from user-controlled input, allowing phishing attacks.","Redirecting users to malicious websites, leading to credential theft or malware infection.",Angular,Security & Vulnerability Risks
ANG-SEC-017,"Improper handling of WebSockets, leading to injection or data leakage over the persistent connection.","Real-time data interception or manipulation, unauthorized access to data streams.",Angular,Security & Vulnerability Risks
ANG-SEC-018,"Client-side enforcement of business logic that should be handled by the server.","Bypassing of business rules, leading to fraud, data corruption, or unauthorized transactions.",Angular,Security & Vulnerability Risks
ANG-SEC-019,"Dependency confusion attacks where a malicious internal package name is registered on a public repository.","Execution of malicious code during the build process, compromising the CI/CD pipeline and application code.",Angular,Security & Vulnerability Risks
ANG-SEC-020,"Insecure configuration of Angular's AOT (Ahead-of-Time) compiler, potentially leaving debug information.","Information leakage about application structure and build environment.",Angular,Security & Vulnerability Risks
ANG-SEC-021,"Failure to revoke JWTs or session tokens on the client-side after logout.","Token replay attacks if a token is stolen, allowing unauthorized access until it expires.",Angular,Security & Vulnerability Risks
ANG-SEC-022,"Using `innerHTML` with un-sanitized content, a direct vector for XSS attacks.","DOM-based XSS, allowing attackers to manipulate the page and steal user data.",Angular,Security & Vulnerability Risks
ANG-SEC-023,"Misconfigured CORS policy on the backend API, trusted by the Angular app, allowing unauthorized origins.","Cross-site data theft and unauthorized API interactions from malicious websites.",Angular,Security & Vulnerability Risks
ANG-SEC-024,"Exposure of internal API endpoints or paths through the Angular router configuration.","Information disclosure about the backend infrastructure and potential attack surface.",Angular,Security & Vulnerability Risks
