Project Name,Sprint/Phase,Task/Item,Status,Owner,Timeline,Financial Metric,SLA Metric,Risk Title,Risk Description,Risk Category,Tech Stack,Risk Subtype,Severity,Likelihood,Impact
HIE Interoperability,Sprint 1,QA Testing,Completed with defects,Nisha,2026-03-02 to 2026-03-08,N/A,N/A,Sprint Defect Detection Pattern,High defect identification rate in Sprint 1 with multiple defects logged and requiring 2-3 retesting cycles. Defect leakage marked as Low to Medium indicating quality issues escaping initial testing.,Technical,QA Testing,Defect,High,High,Reduced software reliability and increased rework effort
HIE Interoperability,Sprint 1,Bug Fixes,Blocked,Ramesh K,2026-03-02 to 2026-03-08,N/A,N/A,PR Approval Delay Risk,Bug fixes implemented but PRs awaiting approval causing cycle time increase. Consistent pattern of approval delays impacting closure timelines and developer productivity.,Operational,Development,Delay,Medium,High,Extended delivery timelines and resource idle time
HIE Interoperability,Sprint 1,Dependency Tracking,Blocked,Priya M,2026-03-02 to 2026-03-08,N/A,N/A,Environment Access Permission Delays,Blocked tasks due to delays in UAT/prod-like environment access permissions. External dependency on access approvals causing work stoppages.,Operational,Infrastructure,Dependency,High,High,Project delays and blocked work streams
HIE Interoperability,Sprint 1,Integration Support,In Progress,Keerthi L,2026-03-02 to 2026-03-08,N/A,N/A,Environment Dependency Risk,Integration and production support activities facing delays due to environment access permissions and external dependencies impacting validation work.,Operational,Integration,Dependency,Medium,High,Delayed integration validation and data flow issues
HIE Interoperability,Sprint 2,QA Testing,Completed with defects,Nisha,2026-03-09 to 2026-03-15,N/A,N/A,Recurring Defect Pattern,Continued high defect rate in Sprint 2 with defects requiring multiple retesting cycles. Pattern indicates systemic quality issues in development process.,Technical,QA Testing,Defect,High,High,Compromised software quality and customer satisfaction
HIE Interoperability,Sprint 2,Bug Fixes,In Progress,Ramesh K,2026-03-09 to 2026-03-15,N/A,N/A,Architecture Review Bottleneck,PR approval blocked by architecture reviewer causing development delays. Bottleneck in review process impacting multiple work items.,Operational,Development,Delay,Medium,High,Delayed feature delivery and accumulated technical debt
HIE Interoperability,Q1 2026,QA Activities,Completed,QA Team,2026-01-01 to 2026-03-31,₹3,25,000 (Over Budget),N/A,QA Budget Overrun,QA activities exceeded budget by ₹25,000 due to higher retesting cycles. Actual spend of ₹3,25,000 against planned ₹3,00,000 indicating scope creep in testing.,Financial,QA Testing,Overrun,Medium,High,Financial loss and reduced project profitability
HIE Interoperability,Q1 2026,DevOps Activities,Completed,DevOps Team,2026-01-01 to 2026-03-31,₹2,20,000 (Over Budget),N/A,DevOps Budget Overrun,DevOps activities exceeded budget by ₹20,000 due to increased production monitoring requirements. Actual spend of ₹2,20,000 against planned ₹2,00,000.,Financial,DevOps,Overrun,Medium,Medium,Increased operational costs
HIE Interoperability,Q1 2026,Development,Completed,Development Team,2026-01-01 to 2026-03-31,N/A,N/A,Resource Over-Utilization Risk,Developers operating at 82% utilization against planned 70% indicating resource strain. Higher workload due to bug fixes and rework impacting team sustainability.,Resource,Development,Constraint,High,High,Team burnout and quality degradation
HIE Interoperability,Sprint 3,QA Testing,In Testing,Nisha,2026-03-16 to 2026-03-22,N/A,N/A,Defect Reopen Pattern,Defects being reopened due to incomplete fixes indicating quality issues in bug resolution. Reopen count reaching 2 in some cases showing fix verification gaps.,Technical,QA Testing,Defect,Medium,High,Increased cycle time and customer dissatisfaction
