Risk ID,Technology,Context,Risk Title,Risk Category,Risk Description,Potential Impact
BR-AIML-001,AIML,"AI/ML models used for predictive analytics and decision-making",Model Poisoning Attack,Security,"Adversaries may inject malicious data into training datasets to corrupt AI/ML models, causing them to make incorrect predictions or classifications. This can occur through compromised data sources, insider threats, or inadequate data validation processes.","Compromised models can lead to incorrect business decisions, financial losses, regulatory violations, reputational damage, and potential safety incidents if used in critical systems. Recovery requires model retraining, data sanitization, and extensive validation, resulting in significant operational costs and downtime."
BR-AIML-002,AIML,"AI/ML models deployed in production environments",Adversarial Input Attacks,Security,"Attackers can craft specially designed inputs that exploit model vulnerabilities, causing misclassification or incorrect outputs while appearing legitimate to human observers. These attacks can bypass security controls and manipulate model behavior.","Successful adversarial attacks can compromise system integrity, enable unauthorized access, facilitate fraud, cause financial losses, and undermine trust in AI-driven systems. Organizations may face legal liability, regulatory penalties, and significant reputational harm."
BR-AIML-003,AIML,"AI/ML model training and inference infrastructure",Model Extraction and Intellectual Property Theft,Security,"Attackers may use query-based attacks to reverse-engineer proprietary AI/ML models by analyzing input-output relationships, stealing valuable intellectual property, trade secrets, and competitive advantages without authorization.","Model theft can result in loss of competitive advantage, reduced market differentiation, financial losses from R&D investment, potential legal disputes, and enabling competitors to replicate proprietary capabilities. Organizations may lose millions in development costs and future revenue opportunities."
BR-AIML-004,AIML,"AI/ML systems processing sensitive personal data",Privacy Leakage Through Model Inversion,Security,"Model inversion attacks can extract sensitive training data from deployed models, revealing personally identifiable information (PII), protected health information (PHI), or other confidential data used during training, violating privacy regulations.","Privacy breaches can result in GDPR, HIPAA, or CCPA violations leading to substantial fines (up to 4% of global revenue), class-action lawsuits, mandatory breach notifications, regulatory investigations, loss of customer trust, and long-term reputational damage."
BR-AIML-005,AIML,"AI/ML model access control and authentication",Unauthorized Model Access and Manipulation,Security,"Inadequate access controls, weak authentication mechanisms, or privilege escalation vulnerabilities can allow unauthorized users to access, modify, or delete AI/ML models, training data, or inference endpoints, compromising system security.","Unauthorized access can lead to data breaches, model tampering, service disruption, compliance violations, financial fraud, intellectual property theft, and potential sabotage. Organizations may face regulatory penalties, legal liability, and significant remediation costs."
BR-AIML-006,AIML,"AI/ML model training data storage and transmission",Insufficient Data Encryption,Security,"Training data, model parameters, and inference results may be stored or transmitted without adequate encryption, exposing sensitive information to interception, unauthorized access, or data breaches through network sniffing or storage compromise.","Unencrypted data exposure can result in regulatory non-compliance (GDPR, HIPAA, PCI-DSS), substantial fines, data breach notifications, loss of customer trust, competitive disadvantage, and potential legal action. Recovery costs include forensic investigation, customer notification, and credit monitoring services."
BR-AIML-007,AIML,"AI/ML inference endpoints and APIs",API Injection and Manipulation Attacks,Security,"ML inference APIs may be vulnerable to injection attacks, parameter manipulation, or malicious payloads that exploit input validation weaknesses, allowing attackers to compromise model behavior, extract sensitive information, or gain unauthorized system access.","API vulnerabilities can enable data exfiltration, service disruption, unauthorized transactions, financial fraud, compliance violations, and system compromise. Organizations may experience operational downtime, financial losses, regulatory penalties, and reputational damage requiring extensive security remediation."
BR-AIML-008,AIML,"AI/ML model dependencies and supply chain",Vulnerable Third-Party Libraries and Dependencies,Security,"AI/ML frameworks rely on numerous third-party libraries (TensorFlow, PyTorch, scikit-learn) that may contain known vulnerabilities, backdoors, or malicious code, creating supply chain security risks and potential compromise vectors.","Vulnerable dependencies can introduce security exploits, enable remote code execution, facilitate data breaches, cause system compromise, and create compliance violations. Organizations face potential data loss, operational disruption, legal liability, and significant costs for vulnerability remediation and system hardening."
BR-AIML-009,AIML,"AI/ML model training infrastructure",Insufficient Logging and Monitoring,Security,"Inadequate logging of model training activities, inference requests, data access, and security events can prevent detection of security incidents, compliance violations, or anomalous behavior, delaying incident response and forensic investigation.","Poor logging capabilities can result in undetected breaches, prolonged attacker dwell time, inability to meet audit requirements, regulatory non-compliance, failed forensic investigations, and increased breach impact. Organizations may face regulatory penalties, extended recovery times, and inability to demonstrate due diligence."
BR-AIML-010,AIML,"AI/ML model credentials and secrets management",Hardcoded Credentials and Secrets Exposure,Security,"API keys, database credentials, cloud access tokens, or encryption keys may be hardcoded in model code, configuration files, or version control systems, creating significant security vulnerabilities and unauthorized access risks.","Exposed credentials can enable unauthorized system access, data breaches, financial fraud, cloud resource abuse, substantial unexpected costs, compliance violations, and complete system compromise. Organizations may face regulatory penalties, forensic investigation costs, credential rotation expenses, and reputational damage."
