Risk ID,Technology,Context,Risk Title,Risk Category,Risk Description,Potential Impact
BR-NET-001,.Net,"Used as a backend framework for enterprise application development","Deserialization Vulnerabilities",Security,".NET applications using insecure deserialization (e.g., BinaryFormatter, NetDataContractSerializer) are vulnerable to remote code execution attacks when processing untrusted data. Attackers can craft malicious serialized objects that execute arbitrary code upon deserialization.","Successful exploitation can lead to complete system compromise, unauthorized access to sensitive data, lateral movement within the network, data exfiltration, ransomware deployment, regulatory fines under GDPR/HIPAA, severe reputational damage, and potential business disruption costing millions in recovery and legal fees."
BR-NET-002,.Net,"Used as a backend framework for enterprise application development","SQL Injection via Entity Framework",Security,"Despite Entity Framework's parameterization, raw SQL queries, dynamic LINQ, or improper use of FromSqlRaw/FromSqlInterpolated can introduce SQL injection vulnerabilities, allowing attackers to manipulate database queries.","Exploitation can result in unauthorized data access, data theft of customer PII, financial records manipulation, compliance violations (PCI-DSS, SOX), regulatory penalties exceeding $50M, loss of customer trust, class-action lawsuits, and permanent brand damage."
BR-NET-003,.Net,"Used as a backend framework for enterprise application development","XML External Entity (XXE) Attacks",Security,".NET applications parsing XML without proper configuration (e.g., XmlReader with DtdProcessing enabled) are vulnerable to XXE attacks, allowing attackers to read local files, perform SSRF attacks, or cause denial of service.","XXE exploitation can expose sensitive configuration files, credentials, internal network topology, enable pivot attacks to internal systems, cause service disruption, result in data breaches, regulatory fines, and significant incident response costs."
BR-NET-004,.Net,"Used as a backend framework for enterprise application development","Cross-Site Scripting (XSS) in Razor Views",Security,"Improper output encoding in ASP.NET Razor views or use of @Html.Raw() with untrusted data can introduce XSS vulnerabilities, allowing attackers to inject malicious scripts into web pages.","XSS attacks can lead to session hijacking, credential theft, malware distribution to users, defacement, phishing attacks, loss of user trust, regulatory scrutiny, and potential liability for compromised user accounts."
BR-NET-005,.Net,"Used as a backend framework for enterprise application development","Cross-Site Request Forgery (CSRF) Vulnerabilities",Security,"ASP.NET applications without proper anti-forgery token validation are vulnerable to CSRF attacks, where attackers trick authenticated users into performing unintended actions.","CSRF exploitation can result in unauthorized transactions, data modification, privilege escalation, financial fraud, compliance violations, legal liability, customer compensation claims, and reputational damage."
BR-NET-006,.Net,"Used as a backend framework for enterprise application development","Insecure Authentication Implementation",Security,"Weak authentication mechanisms, improper password hashing (e.g., MD5, SHA1), lack of multi-factor authentication, or insecure session management in .NET applications can be exploited by attackers.","Authentication bypass can lead to unauthorized account access, identity theft, data breaches, financial fraud, regulatory penalties under authentication requirements (NIST 800-63), loss of customer confidence, and significant remediation costs."
BR-NET-007,.Net,"Used as a backend framework for enterprise application development","Authorization Bypass Vulnerabilities",Security,"Improper implementation of role-based access control (RBAC), missing authorization checks, or insecure direct object references in .NET applications can allow unauthorized access to resources.","Authorization failures can result in privilege escalation, unauthorized data access, data manipulation, compliance violations (SOC 2, ISO 27001), regulatory fines, audit failures, legal liability, and loss of business partnerships."
BR-NET-008,.Net,"Used as a backend framework for enterprise application development","Sensitive Data Exposure in Logs",Security,".NET applications may inadvertently log sensitive information (passwords, API keys, PII, credit card numbers) in application logs, error messages, or debug output, exposing them to unauthorized access.","Exposed sensitive data can lead to credential compromise, identity theft, financial fraud, PCI-DSS violations, GDPR fines up to 4% of annual revenue, forensic investigation costs, customer notification expenses, and severe reputational damage."
BR-NET-009,.Net,"Used as a backend framework for enterprise application development","Insecure Cryptographic Storage",Security,"Use of weak encryption algorithms (DES, RC4), hardcoded encryption keys, improper key management, or inadequate protection of sensitive data at rest in .NET applications can compromise data confidentiality.","Cryptographic failures can result in data breaches, exposure of trade secrets, intellectual property theft, regulatory violations (HIPAA, GDPR), fines exceeding $100M, class-action lawsuits, loss of competitive advantage, and business closure."
BR-NET-010,.Net,"Used as a backend framework for enterprise application development","Insufficient Transport Layer Security",Security,".NET applications not enforcing HTTPS, using outdated TLS versions (TLS 1.0/1.1), weak cipher suites, or improper certificate validation are vulnerable to man-in-the-middle attacks.","TLS vulnerabilities can enable eavesdropping, data interception, credential theft, session hijacking, compliance failures (PCI-DSS requirement 4.1), regulatory penalties, loss of customer trust, and potential business disruption."
BR-NET-011,.Net,"Used as a backend framework for enterprise application development","Dependency Vulnerabilities in NuGet Packages",Security,".NET applications using outdated or vulnerable NuGet packages with known CVEs can be exploited by attackers to compromise the application or underlying infrastructure.","Vulnerable dependencies can lead to remote code execution, data breaches, supply chain attacks, compliance violations, regulatory fines, emergency patching costs, service disruptions, and significant reputational damage."
BR-NET-012,.Net,"Used as a backend framework for enterprise application development","Server-Side Request Forgery (SSRF)",Security,".NET applications that make HTTP requests based on user input without proper validation are vulnerable to SSRF attacks, allowing attackers to access internal resources or perform port scanning.","SSRF exploitation can expose internal services, cloud metadata endpoints (AWS EC2 credentials), enable lateral movement, data exfiltration, service disruption, compliance violations, and significant incident response costs."
