Risk ID,Risk Description,Potential Impact,Tech Stack,Category Of Risks
JSEC-001,"Unpatched vulnerabilities in the Java Virtual Machine (JVM) or Java Development Kit (JDK), such as sandbox escapes or memory corruption.","Remote Code Execution (RCE), complete host compromise, denial of service.",Java,Security & Vulnerability Risks
JSEC-002,"Insecure Deserialization using standard Java serialization or libraries like XStream, leading to RCE from untrusted data.","Remote Code Execution, data theft, application takeover.",Java,Security & Vulnerability Risks
JSEC-003,"Vulnerabilities in third-party dependencies (e.g., Log4Shell in Log4j, Spring4Shell in Spring Framework).","Widespread compromise, RCE, data exfiltration, reputational damage.",Java,Security & Vulnerability Risks
JSEC-004,"SQL Injection via insecurely constructed PreparedStatement or legacy Statement objects.","Data breach, unauthorized data modification or deletion, database takeover.",Java,Security & Vulnerability Risks
JSEC-005,"XML External Entity (XXE) Injection in misconfigured XML parsers (e.g., SAX, DOM, JAXB).","Server-Side Request Forgery (SSRF), local file disclosure, denial of service.",Java,Security & Vulnerability Risks
JSEC-006,"Broken Access Control in web frameworks like Spring Security or Apache Shiro due to misconfiguration.","Privilege escalation, unauthorized access to sensitive data and functionality.",Java,Security & Vulnerability Risks
JSEC-007,"Cross-Site Scripting (XSS) due to improper output encoding in Java Server Pages (JSP), Thymeleaf, or other templating engines.","Session hijacking, user impersonation, client-side attacks.",Java,Security & Vulnerability Risks
JSEC-008,"Insecure default configurations in application servers like Tomcat, JBoss/WildFly, or WebSphere.","Information disclosure, unauthorized administrative access, application compromise.",Java,Security & Vulnerability Risks
JSEC-009,"Dependency Confusion or Hijacking where a build tool (Maven, Gradle) pulls a malicious package from a public repository instead of an internal one.","Supply chain attack, RCE on build servers and developer machines.",Java,Security & Vulnerability Risks
JSEC-010,"Mass Assignment vulnerabilities in Spring MVC or other frameworks, allowing attackers to modify protected object properties.","Privilege escalation, circumvention of business logic.",Java,Security & Vulnerability Risks
JSEC-011,"Server-Side Request Forgery (SSRF) where the application makes requests to an attacker-controlled URL, often via URL or file handling functions.","Internal network scanning, interaction with internal services, data exfiltration.",Java,Security & Vulnerability Risks
JSEC-012,"Use of weak or outdated cryptographic algorithms or improper implementation of Java Cryptography Architecture (JCA).","Data interception and decryption, session hijacking, compliance violations (e.g., PCI DSS).",Java,Security & Vulnerability Risks
JSEC-013,"Hardcoded secrets (passwords, API keys, tokens) within Java source code, properties files, or compiled JAR/WAR files.","Unauthorized access to databases, cloud services, and other integrated systems.",Java,Security & Vulnerability Risks
JSEC-014,"Path Traversal vulnerabilities allowing access to arbitrary files on the server filesystem via user-controlled input.","Source code disclosure, configuration file theft, sensitive data exposure.",Java,Security & Vulnerability Risks
JSEC-015,"Insecure class loading that allows for loading of remote or untrusted classes, leading to RCE.","Application takeover, execution of arbitrary code.",Java,Security & Vulnerability Risks
JSEC-016,"Cross-Site Request Forgery (CSRF) in web applications lacking proper anti-CSRF tokens, especially in stateful applications.","Unauthorized state-changing actions performed on behalf of a logged-in user.",Java,Security & Vulnerability Risks
JSEC-017,"Verbose error messages and stack traces being exposed to users, revealing internal application structure and library versions.","Information leakage that aids attackers in planning more targeted attacks.",Java,Security & Vulnerability Risks
JSEC-018,"Insecure file uploads that allow execution of server-side scripts (e.g., JSP files) or overwriting of critical application files.","Remote Code Execution, persistent server compromise, denial of service.",Java,Security & Vulnerability Risks
JSEC-019,"LDAP Injection in applications using JNDI for authentication or directory lookups with unsanitized user input.","Authentication bypass, modification of LDAP data, privilege escalation.",Java,Security & Vulnerability Risks
JSEC-020,"Vulnerabilities in the Jackson databind library, such as 'gadget chains' that can be exploited for RCE during JSON deserialization.","Remote Code Execution when processing untrusted JSON data.",Java,Security & Vulnerability Risks
JSEC-021,"Improper session management, leading to session fixation, session hijacking, or long-lived sessions.","User impersonation, unauthorized access to user accounts.",Java,Security & Vulnerability Risks
