Risk ID,Risk Description,Potential Impact,Tech Stack,Category of Risks
NET-SEC-001,"Failure to apply latest .NET Framework or .NET Core security patches, leaving the runtime environment exposed to known exploits.","Remote code execution, denial of service, or full system compromise.",.NET,Security & Vulnerability Risks
NET-SEC-002,"Improper use of LINQ to SQL or Entity Framework, leading to SQL Injection vulnerabilities if queries are constructed from raw user strings.","Unauthorized data access, data exfiltration, data corruption, or database takeover.",.NET,Security & Vulnerability Risks
NET-SEC-003,"Insecure Deserialization using older formatters like BinaryFormatter or SoapFormatter on untrusted data streams.","Remote code execution, data tampering, and denial of service attacks.",.NET,Security & Vulnerability Risks
NET-SEC-004,"Cross-Site Scripting (XSS) in ASP.NET MVC or Razor Pages due to improper output encoding of user-supplied data.","Session hijacking, website defacement, and redirection to malicious sites.",.NET,Security & Vulnerability Risks
NET-SEC-005,"Cross-Site Request Forgery (CSRF) in ASP.NET applications where anti-forgery tokens are not implemented or validated correctly.","Unauthorized state-changing actions performed on behalf of an authenticated user.",.NET,Security & Vulnerability Risks
NET-SEC-006,"Misconfiguration of ASP.NET Core Identity, leading to weak password policies, improper account lockout, or insecure session management.","Account takeover, credential stuffing, and brute-force attacks.",.NET,Security & Vulnerability Risks
NET-SEC-007,"Sensitive information exposure through detailed error messages (Yellow Screen of Death) or stack traces in production environments.","Information leakage about application architecture, database schemas, and internal file paths.",.NET,Security & Vulnerability Risks
NET-SEC-008,"Hardcoded secrets, connection strings, or API keys within `web.config`, `appsettings.json`, or source code instead of using secure stores like Azure Key Vault or .NET Secret Manager.","Unauthorized access to databases, cloud services, and third-party APIs.",.NET,Security & Vulnerability Risks
NET-SEC-009,"Server-Side Request Forgery (SSRF) in applications using `HttpClient` to fetch resources from user-provided URLs without proper validation.","Internal network scanning, unauthorized access to internal services, and data leakage from internal systems.",.NET,Security & Vulnerability Risks
NET-SEC-010,"Broken Object Level Authorization (BOLA) in Web APIs where endpoints fail to verify if the authenticated user is authorized to access the requested resource.","Unauthorized access, modification, or deletion of other users' data.",.NET,Security & Vulnerability Risks
NET-SEC-011,"Use of outdated or vulnerable NuGet packages with known security flaws (e.g., older versions of Newtonsoft.Json, log4net).","Introduction of a wide range of vulnerabilities, including remote code execution, denial of service, and data leakage.",.NET,Security & Vulnerability Risks
NET-SEC-012,"Improper implementation of CORS (Cross-Origin Resource Sharing) policies in ASP.NET Core, allowing requests from untrusted domains.","Data exfiltration by malicious websites and CSRF-like attacks.",.NET,Security & Vulnerability Risks
NET-SEC-013,"XML External Entity (XXE) injection in applications parsing XML from untrusted sources using misconfigured `XmlReader` or `XmlDocument` classes.","Server-side request forgery, information disclosure, and denial of service.",.NET,Security & Vulnerability Risks
NET-SEC-014,"Insecure direct object references (IDOR) where internal implementation objects (like database IDs) are exposed in URLs or API responses.","Enables attackers to enumerate and access unauthorized resources (BOLA).",.NET,Security & Vulnerability Risks
NET-SEC-015,"Failure to enable or enforce HTTPS/HSTS, allowing communication between the client and the .NET application to be intercepted (Man-in-the-Middle).","Eavesdropping, session hijacking, and theft of sensitive data in transit.",.NET,Security & Vulnerability Risks
NET-SEC-016,"Open Redirect vulnerabilities where the application redirects to a user-controlled URL without proper validation.","Phishing attacks, redirecting users to malicious websites.",.NET,Security & Vulnerability Risks
NET-SEC-017,"Misconfiguration of Kestrel or IIS hosting environments, such as leaving debugging endpoints enabled or running with excessive privileges.","Unauthorized server access, information disclosure, and potential for full system compromise.",.NET,Security & Vulnerability Risks
NET-SEC-018,"Insufficient logging and monitoring of security events within the .NET application, hindering detection and response to attacks.","Delayed breach detection, inability to perform forensic analysis, and prolonged attacker dwell time.",.NET,Security & Vulnerability Risks
NET-SEC-019,"Path Traversal vulnerabilities in file upload or file access features, allowing access to arbitrary files on the server.","Unauthorized access to sensitive files, source code, or system configuration.",.NET,Security & Vulnerability Risks
NET-SEC-020,"Weak or improper cryptographic implementation, such as using outdated algorithms (MD5, SHA1) or insecure key management practices.","Data breaches of sensitive information like passwords and personal data.",.NET,Security & Vulnerability Risks
NET-SEC-021,"Unvalidated data binding in ASP.NET MVC/Core leading to mass assignment vulnerabilities, allowing attackers to modify unexpected properties.","Privilege escalation, unauthorized data modification (e.g., changing a user's role).",.NET,Security & Vulnerability Risks
NET-SEC-022,"Insecure SignalR hub implementation, lacking proper authorization on hub methods, allowing unauthenticated users to trigger server-side actions.","Denial of service, unauthorized data broadcasting, and execution of sensitive operations.",.NET,Security & Vulnerability Risks
NET-SEC-023,"Assembly injection or tampering in environments with insufficient code integrity checks or insecure loading of assemblies from untrusted paths.","Execution of malicious code with the application's trust level.",.NET,Security & Vulnerability Risks
NET-SEC-024,"Excessive permissions granted to the application's process or service account (e.g., `IIS_IUSRS` or `Network Service`), violating the principle of least privilege.","Increased blast radius in case of a compromise, allowing lateral movement and deeper system access.",.NET,Security & Vulnerability Risks
NET-SEC-025,"Memory leaks or resource exhaustion vulnerabilities in .NET code (e.g., unmanaged resources not being disposed) leading to a denial of service.","Application crashes, server instability, and unavailability of service for legitimate users.",.NET,Security & Vulnerability Risks
PSR-01,"N+1 Query Problem in Entity Framework: A single request triggers multiple, redundant database queries to fetch related data, especially in loops.","High database load, increased application latency, poor user experience, and potential for database server overload.",.NET,Performance & Scalability Risks
PSR-02,"Improper use of async/await (Sync-over-Async): Blocking on asynchronous tasks using `.Result` or `.Wait()` can lead to thread pool starvation.","Application deadlocks, unresponsiveness under load, gateway timeouts (504), and complete service unavailability.",.NET,Performance & Scalability Risks
PSR-03,"Incorrect DbContext Lifecycle Management: Using a singleton or long-lived DbContext instance instead of a scoped (per-request) one.","Memory leaks from cached entities, stale data being served, and concurrency issues leading to data corruption or exceptions.",.NET,Performance & Scalability Risks
PSR-04,"Database Connection Pool Exhaustion: Not properly disposing of database connections or DbContexts, leading to all available connections in the pool being consumed.","New database requests fail, leading to application errors, service outages, and inability to connect to the database.",.NET,Performance & Scalability Risks
PSR-05,"Inefficient LINQ Query Translation: Writing complex or poorly structured LINQ queries that Entity Framework translates into highly inefficient SQL.","Slow query performance, high CPU usage on the database server, and application timeouts.",.NET,Performance & Scalability Risks
PSR-06,"Large Object Heap (LOH) Fragmentation: Frequent allocation of large objects (>85KB) can fragment the LOH, leading to increased memory usage and OutOfMemoryExceptions.","Increased memory footprint, performance degradation due to more frequent Gen 2 garbage collections, and application crashes.",.NET,Performance & Scalability Risks
PSR-07,"Lack of Response Caching: Failure to implement appropriate caching strategies (in-memory, distributed) for frequently accessed, static data.","Unnecessary load on backend services and databases, increased latency for end-users, and higher operational costs.",.NET,Performance & Scalability Risks
PSR-08,"Memory Leaks from Static Event Handlers: Subscribing to events from long-lived objects (like static classes) with short-lived objects without unsubscribing.","Gradual increase in memory consumption over time, eventually leading to performance degradation and application crashes (OutOfMemoryException).",.NET,Performance & Scalability Risks
PSR-09,"Excessive or Inefficient JSON Serialization: Serializing very large or complex object graphs on every request, or using inefficient custom converters.","High CPU utilization on the web server, increased response times, and high memory allocation leading to garbage collection pressure.",.NET,Performance & Scalability Risks
PSR-10,"Absence of API Pagination: Returning large datasets from API endpoints without implementing pagination controls (e.g., page, size).","High memory usage on both server and client, slow network transfer, and potential for denial-of-service through resource exhaustion.",.NET,Performance & Scalability Risks
PSR-11,"Thread Contention and Locking: Overuse of explicit locks (`lock` keyword) or other synchronization primitives in high-throughput code paths.","Reduced parallelism, performance bottlenecks, and potential for deadlocks, limiting the application's ability to scale.",.NET,Performance & Scalability Risks
PSR-12,"Cold Start Latency in Serverless Environments: The initial delay for the .NET runtime and application to initialize in a serverless function (e.g., Azure Functions, AWS Lambda).","High latency for the first request after a period of inactivity, poor user experience for intermittently used features.",.NET,Performance & Scalability Risks
PSR-13,"Inefficient Regular Expression Patterns: Using poorly written regex patterns that are susceptible to Regular Expression Denial of Service (ReDoS).","Extreme CPU spikes when processing certain inputs, causing the application to become unresponsive and vulnerable to DoS attacks.",.NET,Performance & Scalability Risks
PSR-14,"Overuse of Reflection: Heavy reliance on reflection for core application logic, such as object mapping or dependency injection.","Significant performance overhead compared to static code, leading to slower execution and reduced throughput.",.NET,Performance & Scalability Risks
PSR-15,"Lack of Asynchronous Database Operations: Using synchronous database I/O calls in an otherwise asynchronous ASP.NET Core application.","Blocks the calling thread, reducing the server's ability to handle concurrent requests and leading to scalability issues.",.NET,Performance & Scalability Risks
PSR-16,"Improper Exception Handling in Loops: Throwing and catching exceptions as a form of control flow within tight loops.","Severe performance degradation, as exception handling in .NET is a computationally expensive operation.",.NET,Performance & Scalability Risks
