Risk ID,Risk Description,Potential Impact,Primary Stack
R01,"In bolt rewrite project, there are two teams (Pod X & development Pods). The task of Pod X team is to ensure there are enough approved stories available so that development pods can pick them up during the upcoming sprints. The risk highlighted here is the inflow of approved stories is less and there is a risk and it can have an impact for the development pods during the upcoming sprints.","Medium - Insufficient approved user stories can lead to development delays and impact sprint execution timelines.","Project Management, Agile"
R02,"Bolt Rewrite & POD X project has started from 1st April 2024 and it is currently with United Finance team for approval. Generally there is a lengthy process at united to get the SoWs approved, hence there is a delay in getting the SoWs approved.","Medium - Delays in SoW approval can cause financial impact and project cost overruns.","Project Management, Agile"
R03,"As part of the BGV process, for 5 resources BGV has highlighted discrepancies. 1 Resource has been offboarded and for the 4 resources the status is in progress. In case if we need to offboard further resources, there will be high impact to the project and there would have an impact with the client confidence.","High - BGV discrepancies requiring resource offboarding can result in reputation loss and financial impact affecting client confidence.","Project Management, Agile"
R04,"EQE team is doing the overall testing for Release 1. EQE team has highlighted they dont have enough bandwidth to complete the testing by 16th August.","Medium - Insufficient testing resources can lead to delays in release completion and margin impact.","Project Management, Agile"
R05,"For Fedex Integration required an Organization account to be setup for higher environment. As of now for development, local accounts are being used. Working with Fedex team to check on this. Without the Fedex Organization account setup we will not be able to deploy the Fedex changes to production environment.","Medium - Lack of Fedex organization account can cause deployment delays and margin impact.","Project Management, Agile"
R06,"Currently for testing WT inbound there is no lower information and BOLT team highlighted that the testing needs to be done in production directly. Which imposes a huge risk to do the testing directly in production environment. Working with Worldtracer team to identify a lower environment for WT inbound testing.","Medium - Absence of test environment for WT inbound integration can lead to production risks and margin impact.","Project Management, Agile"
R07,"United QA team has highlighted they require more time to complete PI-2 testing and they cannot complete within the stipulated timeline. This will delay the UAT testing and eventually impact PI-2 go-live.","Medium - Extended QA testing timeline can delay UAT and impact go-live schedule causing margin impact.","Project Management, Agile"
R08,"Cause: Delay in the United Dev team's delivery of wrapper APIs required for integration. Consequence: EQA completion by 13th Feb will be impacted, potentially delaying the PI-3 release schedule. Contingency: We are having daily check-ins with the United Dev team to track progress. Additionally, we are working with the business team to see if some features (Reopen, Reassign) can be moved to a later PI-3 release (Fast follower release), ensuring that the current PI-3 timeline stays on track.","Medium - Dependency on BOLT team wrapper APIs can cause delays in integration testing and margin impact.","Project Management, Agile"
R09,"The Statement of Work (SoW) for the BOLT rewrite Change Request (CR) is pending final client approval. All discussions with the client have been completed, and we are awaiting the email confirmation. The signed SoW will require additional time to go through United Airlines' finance approval workflow. The client was expected to provide approval during the week of March 3rd. However, due to his leave, the approval has not yet been received. Follow up with the client to obtain email approval next week (week of 17th March) while the formal SoW undergoes processing through the United Airlines approval workflow.","Medium - Delays in CR approval can result in revenue loss and impact resource extension planning.","Project Management, Agile"
R10,"Context: As part of the technical design for the new Bag Tool, AWS has recommended using OpenSearch, introducing a change in the underlying technology stack. Condition: This technology shift is expected to impact the delivery timelines for the Increment 7 release. To address this, United will engage a Subject Matter Expert (SME) on OpenSearch to review and discuss the design implications in detail. Consequence: From a delivery perspective, we have proposed to United that the new Bag Tool be excluded from the Increment 7 release. Once the Proof of Concept (PoC) is completed, we will reassess the required effort and timeline and scope it as a separate initiative.","Medium - Technology change to OpenSearch can cause delivery delays and margin impact on Increment 7 release.","Project Management, Agile"
R11,"Timely approval of all Deliverables","Medium - Delays in client approvals can impact project timelines and deliverable acceptance.",General
R12,"Mapping of Monroney Application Environment with the Integrations to the Systems not available in the Plan yet","Medium - Lack of environment mapping can cause integration issues and planning delays.",General
R13,"Definition of Done not Clear","Low - Unclear DoD can lead to inconsistent deliverable quality and rework.",General
R14,"Port Processing for each Location might be Unique, and need to draw proper Alignment with applicable Support and Business teams - This may pose issues during SIT/UAT","Medium - Unique port processing requirements can cause testing challenges during SIT/UAT phases.",General
R15,"Product Backlog Refinement / Grooming not structured. In Sprint grooming seen","Medium - Unstructured backlog refinement can lead to sprint planning issues and execution delays.",General
R16,"SOW Scope is not mapped with Requirements Tags - This may outfall as Commitment Not fulfilled Per agreement and since this is tied to commercials","High - SOW scope mismatch can result in unfulfilled commitments and commercial disputes.",General
R17,"No plan exists on Support Transition / End to end Support Ecosystem - L1/L2/L3...","High - Absence of support transition plan can cause operational disruption post go-live.",General
R18,"UAT Readiness Not in Project Plan - This will need a structured Test Scenarios and Test Cases mapped to the EPICS / Features / User Stories as applicable","Medium - Lack of UAT readiness planning can delay testing and impact go-live timelines.",General
R19,"Following PBIs that are planned to finish Late in Sprint 4 Have to be elaborated for any dependencies and understand possibilities to finish earlier in Sprint 4 cycle","High - Late sprint completion of UI development can cause UAT delays and impact release schedule.",General
R20,"Decision on VBOX API Changes not available","Medium - Pending decision on VBOX API changes can impact Wave 1 go-live readiness.",General
R21,"Phase-1 currently progressing and Phase-2 expected to start by 1st Feb 2024. Solution Architect who plays the significant role and also MEAN stack developers yet to be identified to kickoff development as per the plan.","Medium - Delay in critical resource deployment can cause financial impact and reputation loss.",General
R22,"Velocity should be in the range of 50+. But team could perform 30% less of planned velocity for last sprint. this caused due to below.. • Team members unplanned leaves • Failed to check prerequisite of the user story. • UI Lead project movement","Medium - Velocity dip can result in reputation loss and impact sprint delivery commitments.",General
R23,"Client is using Sonarqube for code quality measurement. Code coverage along with unit testing yet to be planned. Currently in discussion with client to add an amendment in SOW for using Digital Ascender. Once it is incorporated in SOW to use DA, Team will focus on Unit tests along with code coverage.","Medium - Lack of code coverage and unit testing can impact client relationship and quality standards.",General
R24,"Context: This is fixed bid project where doing Application modernization from sharepoint to MEAN stack Condition: Few of the critical requirements not finalized from client side. Consequence: Project schedule will get affected and margin will be impacted.","Medium - Delay in requirement finalization can cause financial impact and schedule overruns.",General
R25,"CVS Retail Production Support has majorly 4 towers. 1) Rx Growth 2) Front store 3) Supply Chain & Patient Safety 4) Store Operations We observe scope and coverage change across the towers. Hence we are in need of additional resources for CVS Retail Production Support. Planning to submit and secure CR approval.","High - Scope changes requiring additional resources can result in revenue loss and margin impact.",General
R26,"Reduced team size may lead to high risk on delivery & Shift Coverage gaps. CVS Retail Production Support has majorly 4 towers. 1) Rx Growth 2) Front store 3) Supply Chain & Patient Safety 4) Store Operations We are planning for Optimized Production support effective September 01,2024 in order to synchronous with our proposed staffing plan and it demands high risk on delivery and shift coverage issues considering any ad-hoc leaves/national holidays","High - Optimized team size can cause client penalties and reputation loss due to coverage gaps.",General
R27,"Access restriction issues in CVS Retail Production Support across towers to achieve L1 synergy. We are planning to implement L1 synergy across Supply Chain/Patient Safety and Store Operations. But we observe access restrictions from CVS Customer which blocks our L1 Synergy and Optimization Plan.","High - Access restrictions can result in margin impact and revenue loss affecting optimization plans.",General
R28,"Reduced team size may lead to high risk on delivery & Shift Coverage gaps. CVS Retail Production Support has majorly 4 towers. 1) Rx Growth 2) Front store 3) Supply Chain & Patient Safety 4) Store Operations We are planning for Optimized Production support effective September 01,2024 in order to synchronous with our proposed staffing plan and it demands high risk on delivery and shift coverage issues considering any ad-hoc leaves/national holidays","Low - Optimized production support team can cause reputation loss if coverage issues arise.",General
R29,"CVS Retail Prod support - Use cases were analyzed and identified to eliminate manual effort. Recommended possible solutions with latest technology and observed challenges on implementation. CVS SME`s suggested that development team will work on identified automation use cases phase by phase. This leads to delay in implementation of use cases considering development team priroities.","Low - Delays in automation implementation can impact margin and client relationship.",General
