"Risk ID","Technology","Context","Risk Title","Risk Category","Risk Description","Base Mitigation"
"BR-ANG-001","Angular","Client-side single-page application framework","Cross-Site Scripting (XSS) Vulnerability","Security","Angular applications are vulnerable to XSS attacks when using bypassSecurityTrust methods (bypassSecurityTrustHtml, bypassSecurityTrustScript, bypassSecurityTrustStyle, bypassSecurityTrustUrl, bypassSecurityTrustResourceUrl) improperly, allowing attackers to inject malicious scripts that execute in users' browsers and steal sensitive data or perform unauthorized actions.","Avoid using bypassSecurityTrust methods unless absolutely necessary. Implement strict Content Security Policy (CSP) headers, use Angular's built-in sanitization, and conduct regular security audits of template bindings."
"BR-ANG-002","Angular","Template rendering and data binding","DOM-Based XSS Through Unsafe Property Binding","Security","Using property binding with untrusted data (e.g., [innerHTML], [src], [href]) without proper sanitization can lead to DOM-based XSS attacks where malicious code is executed directly in the browser without server interaction.","Use Angular's DomSanitizer service to sanitize all untrusted content, prefer text interpolation over innerHTML, and implement input validation at component level."
"BR-ANG-003","Angular","HTTP client communication with backend APIs","Cross-Site Request Forgery (CSRF) Attacks","Security","Angular applications making HTTP requests without proper CSRF protection are vulnerable to attacks where malicious sites can trigger unauthorized actions on behalf of authenticated users.","Enable Angular's built-in CSRF protection by configuring HttpClientXsrfModule, ensure backend validates CSRF tokens, and use SameSite cookie attributes."
"BR-ANG-004","Angular","Client-side routing and navigation","Open Redirect Vulnerability","Security","Improper validation of redirect URLs in Angular routing can allow attackers to redirect users to malicious external sites, facilitating phishing attacks and credential theft.","Validate all redirect URLs against a whitelist, use Angular's Router with strict route guards, and avoid using user-supplied data directly in navigation commands."
"BR-ANG-005","Angular","Local storage and session storage usage","Sensitive Data Exposure in Browser Storage","Security","Storing sensitive information (tokens, PII, credentials) in localStorage or sessionStorage exposes data to XSS attacks and makes it accessible to any script running on the same origin.","Store sensitive tokens in httpOnly secure cookies, encrypt data before storing in browser storage, implement token rotation, and use short-lived tokens with refresh mechanisms."
"BR-ANG-006","Angular","Third-party npm package dependencies","Supply Chain Attacks via Compromised Dependencies","Security","Angular applications depend on numerous npm packages that may contain vulnerabilities or malicious code, exposing the application to supply chain attacks and data breaches.","Regularly audit dependencies using npm audit and Snyk, implement Software Composition Analysis (SCA), use package-lock.json, verify package integrity, and maintain a dependency update policy."
"BR-ANG-007","Angular","Authentication and authorization implementation","Insecure Authentication Token Management","Security","Improper handling of JWT tokens or authentication credentials in Angular applications can lead to token theft, session hijacking, and unauthorized access to protected resources.","Implement secure token storage (httpOnly cookies), use short-lived access tokens with refresh tokens, implement token expiration checks, and use interceptors for automatic token attachment."
"BR-ANG-008","Angular","Route guards and access control","Client-Side Authorization Bypass","Security","Relying solely on Angular route guards for authorization allows attackers to bypass client-side checks by manipulating browser state or directly accessing API endpoints.","Implement authorization checks on both client and server sides, use CanActivate and CanLoad guards as UI convenience only, and enforce all access control at the API level."
"BR-ANG-009","Angular","Production build configuration","Source Map Exposure in Production","Security","Deploying Angular applications with source maps enabled in production exposes application logic, business rules, API endpoints, and potentially sensitive information to attackers.","Disable source maps in production builds, use Angular CLI production flag (--prod), configure angular.json to exclude source maps, and implement proper build pipeline validation."
"BR-ANG-010","Angular","Environment configuration files","Hardcoded Secrets and API Keys Exposure","Security","Embedding API keys, secrets, or sensitive configuration in Angular environment files results in exposure through client-side code, as all Angular code is delivered to the browser.","Never store secrets in Angular code, use backend proxy for API calls requiring keys, implement environment-specific configuration management, and use secret management services."
